,name,2014,2015,2016,2017,2018,roe_mean,gross_profit,revenue_grow,profit_grow,industry,ipo_date
600398.XSHG,海澜之家,27.0788,30.9914,33.4599,37.9327,48.7235,35.64,40.84,24.04,23.26,纺织服装I,2000-12-28
603868.XSHG,飞科电器,,,31.0074,35.6055,38.1032,34.91,39.09,12.88,19.86,家用电器I,2016-04-18
002415.XSHE,海康威视,32.3282,33.5871,33.3961,32.8771,34.3956,33.32,44.85,36.7,30.36,电子I,2010-05-28
600340.XSHG,华夏幸福,26.1807,26.4889,30.8538,38.9368,42.3078,32.95,41.62,32.39,33.87,房地产I,2003-12-30
000651.XSHE,格力电器,32.6033,35.4439,30.7747,26.8638,35.9303,32.32,30.23,13.41,20.73,家用电器I,1996-11-18
002174.XSHE,游族网络,17.2114,17.7068,22.6485,31.2963,70.6868,31.91,56.08,42.51,28.82,传媒I,2007-09-25
603288.XSHG,海天味业,32.1837,31.0903,29.5027,30.0437,35.22,31.61,46.47,15.21,22.26,食品饮料I,2014-02-11
600519.XSHG,贵州茅台,34.8382,33.1303,24.7839,26.6144,32.3174,30.34,91.14,20.17,20.44,食品饮料I,2001-08-27
000963.XSHE,华东医药,24.3988,22.2063,27.5402,40.6654,30.5091,29.06,28.99,12.93,31.77,医药生物I,2000-01-27
600566.XSHG,济川药业,32.3137,28.6505,28.5185,25.8164,27.750999999999998,28.61,84.79,24.14,33.23,医药生物I,2001-08-22
002508.XSHE,老板电器,24.5994,29.9584,31.4363,28.9271,24.6675,27.92,53.52,23.26,32.15,家用电器I,2010-11-23
603658.XSHG,安图生物,,,29.7714,25.0229,28.373,27.72,66.38,39.16,26.49,医药生物I,2016-09-01
000895.XSHE,双汇发展,33.6953,27.8333,26.4974,24.3179,25.0803,27.48,21.42,1.89,5.08,食品饮料I,1998-12-10
002294.XSHE,信立泰,22.0948,24.4509,27.7298,29.7993,29.9086,26.8,79.71,15.01,12.34,医药生物I,2009-09-10
000049.XSHE,德赛电池,24.294,22.8735,23.0483,25.287,34.2157,25.94,8.2,32.37,14.83,电子I,1995-03-20
000333.XSHE,美的集团,25.5828,23.1553,24.4594,24.6105,26.2088,24.8,27.54,17.73,33.76,家用电器I,2013-09-18
002833.XSHE,弘亚数控,,,22.0977,25.26,26.5259,24.63,37.56,47.11,46.83,机械设备I,2016-12-28
002372.XSHE,伟星新材,27.3918,26.3118,25.2726,20.7475,18.482,23.64,46.77,16.25,25.56,建筑材料I,2010-03-18
002236.XSHE,大华股份,21.6166,25.0265,23.3433,23.0932,23.5795,23.33,37.16,34.44,18.16,电子I,2008-05-20
002304.XSHE,洋河股份,23.3356,22.0861,22.0722,23.046,24.0766,22.92,73.7,10.26,10.79,食品饮料I,2009-11-06
002624.XSHE,完美世界,17.6429,18.4142,19.1235,27.6518,29.7999,22.53,55.81,14.29,181.58,传媒I,2011-10-28
600276.XSHG,恒瑞医药,21.6691,22.3482,23.206,24.3003,20.9431,22.49,86.6,22.97,27.11,医药生物I,2000-10-18
002032.XSHE,苏泊尔,27.2434,24.4219,21.8898,20.2285,18.6456,22.49,30.86,15.83,22.92,家用电器I,2004-08-17
000423.XSHE,东阿阿胶,18.1129,21.5404,22.6254,23.1452,23.1479,21.71,65.99,13.58,11.77,医药生物I,1996-07-29
600887.XSHG,伊利股份,22.1734,22.1157,21.023000000000003,20.8107,21.6787,21.56,37.82,10.71,15.47,食品饮料I,1996-03-12
600273.XSHG,嘉化能源,16.6046,18.8042,20.1254,19.9935,31.1523,21.34,30.62,20.52,21.11,化工I,2003-06-27
601877.XSHG,正泰电器,17.5516,15.7781,15.8887,26.1043,30.9041,21.25,29.67,10.12,18.54,电气设备I,2010-01-21
600612.XSHG,老凤祥,18.3515,19.1864,20.4894,21.8366,23.3578,20.64,8.24,6.01,6.52,轻工制造I,1992-08-14
000002.XSHE,万科A,23.2216,22.1677,19.5941,18.7057,18.8738,20.51,37.48,17.64,17.82,房地产I,1991-01-29
600763.XSHG,通策医疗,28.3349,23.5242,16.1764,17.3233,17.1458,20.5,43.29,27.42,41.26,医药生物I,1996-10-30
002572.XSHE,索菲亚,19.7109,20.9659,20.9311,21.2188,17.414,20.05,37.57,32.83,32.18,轻工制造I,2011-04-12
000661.XSHE,长春高新,20.5938,15.439,16.4141,23.2581,24.4218,20.03,85.1,21.97,29.52,医药生物I,1996-12-18
