,name,1d,5d,10d,20d,30d,60d,90d,tw,tm,tq,ty,2015y,2016y,2017y,2018y,2019y,vlt,update,aid
ZXB,中小板,-0.96,1.98,5.1,0.98,-1.9,-6.36,-7.21,1.98,1.98,-0.96,-0.96,-39.13,130.95,104.12,10.1,-52.29,49.95,2020-02-07,dyr
CYB,创业板,0.0,-1.92,0.0,-5.56,-7.27,-13.56,-10.53,-1.92,-1.92,-7.27,-7.27,-52.5,94.74,27.03,51.06,-22.54,655.72,2020-02-07,dyr
SZB,深市主板,0.0,3.9,9.59,8.84,3.23,0.0,-1.84,3.9,3.9,7.38,7.38,-14.29,143.59,13.16,190.23,-76.12,213.99,2020-02-07,dyr
SZA,深圳A股,0.0,1.92,4.95,0.95,-1.85,-6.19,-7.02,1.92,1.92,-0.93,-0.93,-34.25,135.42,51.33,84.8,-66.14,47.58,2020-02-07,dyr
SHA,上海A股,-0.45,2.76,5.69,4.69,1.83,-1.76,-2.62,2.76,2.76,3.24,3.24,-15.2,3.47,3.91,44.62,-19.7,219.22,2020-02-07,dyr
HSA,沪深A股,-0.57,2.34,5.42,2.94,0.0,-3.85,-4.37,2.34,2.34,1.74,1.74,-25.79,27.12,19.33,60.34,-40.07,664.23,2020-02-07,dyr
ZXB,中小板,0.29,-0.87,-3.27,0.81,3.89,8.14,2.64,-0.87,-0.87,2.99,2.99,55.61,-22.82,-18.3,-44.21,31.92,401.34,2020-02-07,pe
CYB,创业板,0.85,2.52,1.48,7.4,9.42,16.04,8.49,2.52,2.52,9.62,9.62,58.85,-36.67,-22.74,-35.34,45.01,320.61,2020-02-07,pe
SZB,深市主板,0.38,-3.69,-8.34,-7.81,-4.67,-1.91,-2.92,-3.69,-3.69,-6.51,-6.51,10.35,-8.1,-25.7,-32.6,39.53,569.58,2020-02-07,pe
SZA,深圳A股,0.45,-0.85,-3.64,-0.36,2.41,6.81,3.14,-0.85,-0.85,1.48,1.48,44.71,-18.82,-24.53,-36.96,37.08,217.29,2020-02-07,pe
SHA,上海A股,0.62,-2.57,-5.15,-4.66,-2.35,-1.68,-3.3,-2.57,-2.57,-3.52,-3.52,13.55,-6.0,3.87,-30.15,18.74,129.79,2020-02-07,pe
HSA,沪深A股,0.57,-1.91,-4.55,-3.04,-0.5,1.27,-0.93,-1.91,-1.91,-1.67,-1.67,28.92,-9.49,-6.02,-33.38,24.52,307.85,2020-02-07,pe
ZXB,中小板,0.37,-1.08,-3.86,0.0,3.01,7.87,3.79,-1.08,-1.08,2.24,2.24,67.13,-28.91,-14.89,-41.67,27.62,43.24,2020-02-07,pb
CYB,创业板,0.95,2.16,0.95,6.78,8.97,16.12,11.26,2.16,2.16,8.97,8.97,73.9,-36.37,-24.68,-32.29,38.79,42.24,2020-02-07,pb
SZB,深市主板,0.0,-3.89,-8.95,-7.98,-4.95,-1.7,-4.42,-3.89,-3.89,-6.99,-6.99,17.16,-21.34,-11.34,-34.7,30.07,42.05,2020-02-07,pb
SZA,深圳A股,0.4,-1.17,-4.15,-0.78,2.01,6.72,2.83,-1.17,-1.17,0.79,0.79,50.61,-26.68,-15.83,-36.3,30.57,43.35,2020-02-07,pb
SHA,上海A股,0.0,-2.82,-5.48,-5.48,-2.82,-1.43,-5.48,-2.82,-2.82,-4.17,-4.17,0.5,-16.26,2.94,-28.0,14.29,36.81,2020-02-07,pb
HSA,沪深A股,0.59,-2.3,-5.03,-3.41,-1.16,1.8,-2.3,-2.3,-2.3,-2.3,-2.3,18.53,-19.64,-4.07,-31.6,20.0,38.72,2020-02-07,pb
